,County,CrashYear,CrashMonth,Day of Week,CrashHour,SpeedLimit_upper_value,Age
136,Washington,2012,July,Sunday,22,45,45
137,Lee,2012,November,Tuesday,20,55,48
138,Scotland,2013,March,Sunday,11,55,56
139,New Hanover,2013,August,Thursday,11,35,49
140,Orange,2013,September,Thursday,23,45,41
141,Guilford,2014,September,Thursday,6,25,51
142,Scotland,2014,July,Thursday,22,45,38
143,Robeson,2015,January,Tuesday,16,55,57
144,Wake,2015,May,Tuesday,19,0,9
145,Jones,2017,May,Sunday,17,55,68
146,Wilkes,2017,May,Monday,18,55,56
147,Mecklenburg,2017,June,Friday,0,35,29
148,Wilson,2017,November,Monday,16,35,67
149,Catawba,2018,January,Wednesday,6,45,48
150,Person,2007,July,Monday,17,55,24
151,Buncombe,2007,October,Saturday,1,35,17
152,New Hanover,2007,January,Thursday,13,45,49
153,Moore,2008,December,Wednesday,2,45,41
154,Mecklenburg,2008,December,Monday,14,45,41
155,Dare,2009,March,Saturday,13,35,70
156,Franklin,2010,April,Friday,23,55,55
157,Pitt,2011,March,Thursday,20,45,22
158,Rockingham,2010,August,Tuesday,3,35,27
159,Union,2011,June,Wednesday,12,45,16
160,Brunswick,2011,March,Thursday,18,55,40
161,Davidson,2012,March,Tuesday,15,55,30
162,Guilford,2012,April,Friday,19,45,38
163,Orange,2011,July,Saturday,10,25,72
164,Davidson,2011,November,Tuesday,19,55,45
165,Robeson,2012,October,Thursday,20,55,50
166,Brunswick,2012,October,Thursday,14,55,57
167,New Hanover,2013,June,Thursday,22,45,27
168,Guilford,2013,September,Tuesday,4,55,20
169,Mecklenburg,2013,August,Friday,21,35,27
170,Nash,2014,May,Thursday,8,55,59
171,Durham,2015,May,Sunday,1,45,49
172,Wake,2015,May,Tuesday,20,45,9
173,Wake,2016,December,Wednesday,23,45,56
174,Davidson,2018,September,Sunday,19,45,77
175,Union,2018,July,Saturday,13,55,52
176,Rutherford,2017,October,Monday,19,35,44
177,Scotland,2018,October,Thursday,6,45,23
178,Wake,2008,April,Wednesday,10,25,60
179,Mecklenburg,2008,August,Friday,23,35,44
180,Rowan,2008,October,Monday,18,55,47
181,Mecklenburg,2009,July,Wednesday,12,25,46
182,Guilford,2009,October,Saturday,17,55,55
